Time,Extension,Load
0,0,0.52341
0.1,0.00005,0.17128
0.2,0.00032,1.12382
0.3,0.0008,5.31601
0.4,0.00123,9.75446
0.5,0.00161,13.69573
0.6,0.00198,17.53591
0.7,0.00236,21.67525
0.8,0.00273,25.50556
0.9,0.00305,29.02229
1,0.00337,32.36772
1.1,0.0037,35.44148
1.2,0.00396,38.56912
1.3,0.00434,42.183
1.4,0.00466,45.77997
1.5,0.00498,49.04364
1.6,0.0053,52.63554
1.7,0.00562,56.19774
1.8,0.006,59.36803
1.9,0.00632,63.06458
2,0.0067,66.73272
2.1,0.00702,69.82981
2.2,0.00739,73.38148
2.3,0.00777,77.11178
2.4,0.00804,80.44627
2.5,0.00836,83.53875
2.6,0.00868,86.97253
2.7,0.00905,90.21619
2.8,0.00943,94.20721
2.9,0.00975,97.8203
3,0.01007,100.92287
3.1,0.01039,104.40978
3.2,0.01071,107.61113
3.3,0.01098,110.25015
3.4,0.0113,113.14603
3.5,0.01162,116.80701
3.6,0.012,120.30047
3.7,0.01237,124.24146
3.8,0.01275,127.93293
3.9,0.01307,131.11009
4,0.01339,134.52174
4.1,0.01371,137.90254
4.2,0.01404,140.84479
4.3,0.0143,143.88013
4.4,0.01468,147.17682
4.5,0.015,150.536
4.6,0.01532,154.27524
4.7,0.01564,157.38271
4.8,0.01596,160.56319
4.9,0.01634,164.03632
5,0.01666,167.60625
5.1,0.01704,171.19533
5.2,0.01741,175.09282
5.3,0.01773,178.87573
5.4,0.01805,182.03937
5.5,0.01837,185.56462
5.6,0.0187,188.603
5.7,0.01907,191.83713
5.8,0.01945,195.45152
5.9,0.01977,199.09091
6,0.02009,202.06433
6.1,0.02041,205.37126
6.2,0.02073,208.47665
6.3,0.021,211.41338
6.4,0.02132,213.9632
6.5,0.02164,217.08385
6.6,0.02196,220.60143
6.7,0.02234,224.54144
6.8,0.02271,228.06146
6.9,0.02309,231.7282
7,0.02341,235.27876
7.1,0.02373,238.43971
7.2,0.02405,241.62038
7.3,0.02432,244.52682
7.4,0.02464,247.91278
7.5,0.02502,251.16766
7.6,0.02534,254.8074
7.7,0.02566,258.14944
7.8,0.02598,261.1503
7.9,0.0263,264.491
8,0.02668,267.75235
8.1,0.027,271.19159
8.2,0.02737,274.92877
8.3,0.0277,278.37216
8.4,0.02807,281.79214
8.5,0.02839,285.13828
8.6,0.02871,288.13776
8.7,0.02904,291.19879
8.8,0.02941,294.46494
8.9,0.02979,298.16672
9,0.03011,301.27496
9.1,0.03043,304.52637
9.2,0.03075,307.46634
9.3,0.03102,310.48624
9.4,0.03134,313.33426
9.5,0.03161,316.04828
9.6,0.03198,319.4393
9.7,0.03236,322.95172
9.8,0.03268,326.37946
9.9,0.03305,330.04724
10,0.03343,333.50949
10.1,0.03375,336.51038
10.2,0.03407,339.73325
10.3,0.03434,342.62997
10.4,0.03466,345.38626
10.5,0.03498,348.80319
10.6,0.03536,352.02823
10.7,0.03568,355.3631
10.8,0.036,358.43756
10.9,0.03632,361.58774
11,0.03664,364.76776
11.1,0.03702,368.00909
11.2,0.03734,371.34683
11.3,0.03771,374.70245
11.4,0.03809,378.07904
11.5,0.03841,381.47366
11.6,0.03873,384.59174
11.7,0.03905,387.31802
11.8,0.03937,390.28519
11.9,0.0397,393.67764
12,0.04007,397.35471
12.1,0.04045,400.78607
12.2,0.04077,403.6261
12.3,0.04104,406.98398
12.4,0.04136,409.68243
