Time,Extension,Load
0,0,0
0.1,0.000833333,0.208049113
0.2,0.001666667,0.416098226
0.3,0.0025,0.62414734
0.4,0.003333333,0.832196453
0.5,0.004166667,1.040245566
0.6,0.005,1.248294679
0.7,0.005833333,1.456343793
0.8,0.006666667,1.664392906
0.9,0.0075,1.872442019
1,0.008333333,2.080491132
1.1,0.009166667,2.288540246
1.2,0.01,2.496589359
1.3,0.010833333,2.704638472
1.4,0.011666667,2.912687585
1.5,0.0125,3.120736698
1.6,0.013333333,3.328785812
1.7,0.014166667,3.536834925
1.8,0.015,4.018238591
1.9,0.015833333,4.896274353
2,0.016666667,5.774310115
2.1,0.0175,6.652345877
2.2,0.018333333,7.530381639
2.3,0.019166667,8.408417401
2.4,0.02,9.286453163
2.5,0.020833333,10.16448892
2.6,0.021666667,11.04252469
2.7,0.0225,11.92056045
2.8,0.023333333,12.79859621
2.9,0.024166667,13.67663197
3,0.025,14.55466773
3.1,0.025833333,15.4327035
3.2,0.026666667,16.31073926
3.3,0.0275,17.15041607
3.4,0.028333333,17.93712099
3.5,0.029166667,18.72382592
3.6,0.03,19.51053085
3.7,0.030833333,20.29723577
3.8,0.031666667,21.0839407
3.9,0.0325,21.87064562
4,0.033333333,22.65735055
4.1,0.034166667,23.44405548
4.2,0.035,24.2307604
4.3,0.035833333,25.01746533
4.4,0.036666667,25.80417025
4.5,0.0375,26.59087518
4.6,0.038333333,27.37758011
4.7,0.039166667,28.16428503
4.8,0.04,28.95098996
4.9,0.040833333,29.73769488
5,0.041666667,30.54204378
5.1,0.0425,31.35424577
5.2,0.043333333,32.16644777
5.3,0.044166667,32.97864976
5.4,0.045,33.79085176
5.5,0.045833333,34.60305375
5.6,0.046666667,35.41525574
5.7,0.0475,36.22745774
5.8,0.048333333,37.03965973
5.9,0.049166667,37.85186173
6,0.05,38.66406372
6.1,0.050833333,39.47626571
6.2,0.051666667,40.28846771
6.3,0.0525,41.1006697
6.4,0.053333333,41.91287169
6.5,0.054166667,42.72507369
6.6,0.055,43.53727568
6.7,0.055833333,44.34947768
6.8,0.056666667,45.13040397
6.9,0.0575,45.81008178
7,0.058333333,46.4897596
7.1,0.059166667,47.16943742
7.2,0.06,47.84911524
7.3,0.060833333,48.52879306
7.4,0.061666667,49.20847088
7.5,0.0625,49.8881487
7.6,0.063333333,50.56782652
7.7,0.064166667,51.24750434
7.8,0.065,51.92718216
7.9,0.065833333,52.60685998
8,0.066666667,53.28653779
8.1,0.0675,53.96621561
8.2,0.068333333,54.64589343
8.3,0.069166667,55.32557125
8.4,0.07,56.00679195
8.5,0.070833333,56.70254139
8.6,0.071666667,57.39829083
8.7,0.0725,58.09404027
8.8,0.073333333,58.78978971
8.9,0.074166667,59.48553915
9,0.075,60.18128859
9.1,0.075833333,60.87703803
9.2,0.076666667,61.57278747
9.3,0.0775,62.26853691
9.4,0.078333333,62.96428635
9.5,0.079166667,63.66003579
9.6,0.08,64.35578523
9.7,0.080833333,65.05153468
9.8,0.081666667,65.74728412
9.9,0.0825,66.44303356
10,0.083333333,67.138783
10.1,0.084166667,67.83453244
10.2,0.085,68.61005828
10.3,0.085833333,69.67514294
10.4,0.086666667,70.74022759
10.5,0.0875,71.80531224
10.6,0.088333333,72.87039689
10.7,0.089166667,73.93548154
10.8,0.09,75.00056619
10.9,0.090833333,76.06565085
11,0.091666667,77.1307355
11.1,0.0925,78.19582015
11.2,0.093333333,79.2609048
11.3,0.094166667,80.32598945
11.4,0.095,81.3910741
11.5,0.095833333,82.45615876
11.6,0.096666667,83.52124341
11.7,0.0975,84.28952308
11.8,0.098333333,84.98544732
11.9,0.099166667,85.68137155
12,0.1,86.37729579
12.1,0.100833333,87.07322002
12.2,0.101666667,87.76914426
12.3,0.1025,88.46506849
12.4,0.103333333,89.16099273
12.5,0.104166667,89.85691696
12.6,0.105,90.5528412
12.7,0.105833333,91.24876543
12.8,0.106666667,91.94468967
12.9,0.1075,92.6406139
13,0.108333333,93.33653814
13.1,0.109166667,94.03246237
13.2,0.11,94.72838661
13.3,0.110833333,95.42431084
13.4,0.111666667,96.12023508
13.5,0.1125,96.81615931
13.6,0.113333333,97.51208354
13.7,0.114166667,98.20800778
13.8,0.115,98.90393201
13.9,0.115833333,99.59985625
14,0.116666667,100.3014205
14.1,0.1175,101.0344502
14.2,0.118333333,101.7674799
14.3,0.119166667,102.5005097
14.4,0.12,103.2335394
14.5,0.120833333,103.9665691
14.6,0.121666667,104.6995988
14.7,0.1225,105.4326285
14.8,0.123333333,106.1656582
14.9,0.124166667,106.8986879
15,0.125,107.6317176
15.1,0.125833333,108.3647473
15.2,0.126666667,109.0977771
15.3,0.1275,109.8308068
15.4,0.128333333,110.5638365
15.5,0.129166667,111.2968662
15.6,0.13,112.0298959
15.7,0.130833333,112.7629256
15.8,0.131666667,113.4959553
15.9,0.1325,114.2168456
16,0.133333333,114.9327293
16.1,0.134166667,115.648613
16.2,0.135,116.3644966
16.3,0.135833333,117.0803803
16.4,0.136666667,117.796264
16.5,0.1375,118.5121477
16.6,0.138333333,119.2280313
16.7,0.139166667,119.943915
16.8,0.14,120.6597987
16.9,0.140833333,121.3756823
17,0.141666667,122.091566
17.1,0.1425,122.8074497
17.2,0.143333333,123.5233333
17.3,0.144166667,124.239217
17.4,0.145,124.9551007
17.5,0.145833333,125.6709843
